Name,Area,Population,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Health expenditures,HIV/AIDS - adult prevalence rate,HIV/AIDS - people living with HIV/AIDS,HIV/AIDS - deaths,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Exchange Rate,Currency,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor Force,Unemployment rate,Distribution of family income,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Exports - partners,Exports - commodities,Imports,Imports - partners,Imports - commodities,Reserves of foreign exchange and gold,External debt,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Military expenditures,Airports,Railways,Roadways,Waterways,Merchant marine,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Telephones - fixed lines,Telephones - mobile cellular,Internet users
Italy,"301,340 sq km","62,246,674",0.16%,"8.5 births/1,000 population","10.5 deaths/1,000 population","3.7 migrant(s)/1,000 population","4 deaths/100,000 live births","3.2 deaths/1,000 live births",82.4 years,1.45 children born/woman,9.2% of GDP,0.20%,"130,000",-,19.90%,-,4.1% of GDP,37.80%,0.885,euros (EUR) per US dollar -,$2.317 trillion,1.50%,"$38,200 ",20.3% of GDP,2.10%,25.94 million,11.30%,31.9,46.6% (of GDP),-2.3% (of GDP),131.8% of GDP,1.30%,0.25%,3%,$1.347 trillion,$1.347 trillion,$3.422 trillion,$587.3 billion,$53.42 billion,$496.3 billion,"Germany 12.5%, France 10.3%, US 9%, Spain 5.2%, UK 5.2%, Switzerland 4.6%(2017)","engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; foodstuffs, beverages, and tobacco; minerals, nonferrous metals",$432.9 billion,"Germany 16.3%, France 8.8%, China 7.1%, Netherlands 5.6%, Spain 5.3%, Belgium 4.5%(2017)","engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, tobacco",$151.2 billion,$2.444 trillion,$552.1 billion,$671.8 billion,1.12% of GDP,129,"20,182 km","487,700 km","2,400 km","1,430",275.3 billion kWh,293.5 billion kWh,6.155 billion kWh,43.18 billion kWh,114.2 million kW,54% of total installed capacity,0% of total installed capacity,14% of total installed capacity,32% of total installed capacity,"77,530 bbl/day","13,790 bbl/day",1.341 million bbl/day,487.8 million bbl,1.607 million bbl/day,1.236 million bbl/day,"615,900 bbl/day","422,500 bbl/day",5.55 billion cu m,75.15 billion cu m,271.8 million cu m,69.66 billion cu m,38.11 billion cu m,"20,700,659","83,871,543","38,025,661"
Cote d&#39;Ivoire,"322,463 sq km","26,260,582",2.30%,"30.1 births/1,000 population","8.4 deaths/1,000 population","0 migrant(s)/1,000 population","645 deaths/100,000 live births","62.6 deaths/1,000 live births",60.1 years,3.83 children born/woman,5.7% of GDP,2.80%,"500,000","24,000",10.30%,12.80%,4.8% of GDP,3.90%,594.3,Communaute Financiere Africaine francs (XOF) per US dollar -,$97.16 billion,7.80%,"$3,900 ",15.9% of GDP,4.20%,8.747 million,9.40%,41.5,19.1% (of GDP),-4.2% (of GDP),47% of GDP,0.80%,4.25%,5.40%,$11.63 billion,$11.63 billion,$14.56 billion,$12.49 billion,-$1.86 billion,$11.74 billion,"Netherlands 11.8%, US 7.9%, France 6.4%, Belgium 6.4%, Germany 5.8%, Burkina Faso 4.5%, India 4.4%, Mali 4.2%(2017)","cocoa, coffee, timber, petroleum, cotton, bananas, pineapples, palm oil, fish",$9.447 billion,"Nigeria 15%, France 13.4%, China 11.3%, US 4.3%(2017)","fuel, capital equipment, foodstuffs",$6.257 billion,$13.07 billion,-,-,1.18% of GDP,27,660 km,"81,996 km",980 km,9,9.73 billion kWh,6.245 billion kWh,872 million kWh,19 million kWh,1.914 million kW,60% of total installed capacity,0% of total installed capacity,40% of total installed capacity,0% of total installed capacity,"54,000 bbl/day","26,700 bbl/day","62,350 bbl/day",100 million bbl,"69,360 bbl/day","51,000 bbl/day","31,450 bbl/day","7,405 bbl/day",2.322 billion cu m,2.322 billion cu m,0 cu m,0 cu m,28.32 billion cu m,"305,562","31,747,233","6,297,676"
Iraq,"438,317 sq km","40,194,216",2.50%,"30 births/1,000 population","3.8 deaths/1,000 population","-1.2 migrant(s)/1,000 population","50 deaths/100,000 live births","37.5 deaths/1,000 live births",74.9 years,3.94 children born/woman,5.5% of GDP,-,-,-,30.40%,8.50%,-,-,"1,184",Iraqi dinars (IQD) per US dollar -,$649.3 billion,-2.10%,"$16,700 ",19% of GDP,0.70%,8.9 million,16%,-,35.7% (of GDP),-4.2% (of GDP),59.7% of GDP,0.10%,6%,12.70%,$60.1 billion,$60.1 billion,$34.61 billion,$4 billion,$4.344 billion,$61.4 billion,"India 21.2%, China 20.2%, US 15.8%, South Korea 9.4%, Greece 5.3%, Netherlands 4.8%, Italy 4.7%(2017)","crude oil 99%, crude materials excluding fuels, food, live animals",$39.47 billion,"Turkey 27.8%, China 25.7%, South Korea 4.7%, Russia 4.3%(2017)","food, medicine, manufactures",$48.88 billion,$73.02 billion,$26.63 billion,$2.109 billion,3.63% of GDP,102,"2,272 km","59,623 km","5,279 km",77,75.45 billion kWh,38.46 billion kWh,0 kWh,11.97 billion kWh,27.09 million kW,91% of total installed capacity,0% of total installed capacity,9% of total installed capacity,0% of total installed capacity,4.454 million bbl/day,3.092 million bbl/day,0 bbl/day,148.8 billion bbl,"398,000 bbl/day","826,000 bbl/day","8,284 bbl/day","255,100 bbl/day",1.274 billion cu m,2.633 billion cu m,0 cu m,1.359 billion cu m,3.82 trillion cu m,"2,918,396","33,335,316","8,098,401"
Japan,"377,915 sq km","126,168,156",-0.24%,"7.5 births/1,000 population","9.9 deaths/1,000 population","0 migrant(s)/1,000 population","5 deaths/100,000 live births","2 deaths/1,000 live births",85.5 years,1.42 children born/woman,10.2% of GDP,-,"28,000",-,4.30%,3.40%,3.6% of GDP,5.10%,111.1,yen (JPY) per US dollar -,$5.443 trillion,1.70%,"$42,900 ",28% of GDP,1.40%,65.01 million,2.90%,37.9,35.2% (of GDP),-3.5% (of GDP),237.6% of GDP,0.50%,0.30%,1.48%,$6.317 trillion,$6.317 trillion,$13.07 trillion,$4.895 trillion,$196.1 billion,$688.9 billion,"US 19.4%, China 19%, South Korea 7.6%, Hong Kong 5.1%, Thailand 4.2%(2017)",14.9 motor vehicles5.4 iron and steel products5 semiconductors4.8 auto parts3.5 power generating machinery3.3 plastic materials(2014 est.),$644.7 billion,"China 24.5%, US 11%, Australia 5.8%, South Korea 4.2%, Saudi Arabia 4.1%(2017)",16.1 petroleum9.1 liquid natural gas3.8 clothing3.3 semiconductors2.4 coal1.4 audio and visual apparatus(2014 est.),$1.264 trillion,$3.24 trillion,$252.9 billion,$1.547 trillion,0.93% of GDP,175,"27,311 km","1,218,772 km","1,770 km","5,289",989.3 billion kWh,943.7 billion kWh,0 kWh,0 kWh,295.9 million kW,71% of total installed capacity,1% of total installed capacity,8% of total installed capacity,20% of total installed capacity,"3,841 bbl/day",0 bbl/day,3.208 million bbl/day,44.12 million bbl,3.467 million bbl/day,3.894 million bbl/day,"370,900 bbl/day",1.1 million bbl/day,3.058 billion cu m,127.2 billion cu m,169.9 million cu m,116.6 billion cu m,20.9 billion cu m,"63,941,094","170,128,499","116,565,962"
Jersey,116 sq km,"99,602",0.76%,"12.5 births/1,000 population","7.8 deaths/1,000 population","3.2 migrant(s)/1,000 population",-,"3.7 deaths/1,000 live births",82 years,1.66 children born/woman,-,-,-,-,-,-,-,-,0.7836,Jersey pounds (JEP) per US dollar,$5.569 billion,1%,"$56,600 ",-,-,"59,950",4%,0.3,16.6% (of GDP),-0.4% (of GDP),-,3.70%,-,-,-,-,-,-,-,-,-,"light industrial and electrical goods, dairy cattle, foodstuffs, textiles, flowers",-,-,"machinery and transport equipment, manufactured goods, foodstuffs, mineral fuels, chemicals",-,-,-,-,-,1,-,576 km,-,-,-,630.1 million kWh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"55,938","122,668","58,000"
Jamaica,"10,991 sq km","2,812,090",-0.05%,"16.5 births/1,000 population","7.6 deaths/1,000 population","-4.3 migrant(s)/1,000 population","89 deaths/100,000 live births","12.4 deaths/1,000 live births",74.5 years,2.09 children born/woman,5.4% of GDP,1.80%,"34,000","1,500",24.70%,2.30%,5.4% of GDP,28.30%,128.36,Jamaican dollars (JMD) per US dollar -,$26.06 billion,0.70%,"$9,200 ",18.3% of GDP,0.90%,1.348 million,12.20%,35,29.7% (of GDP),0.5% (of GDP),101% of GDP,4.40%,3.25%,14.91%,$3.55 billion,$3.55 billion,$7.326 billion,$8.393 billion,-$679 million,$1.296 billion,"US 39.1%, Netherlands 12.3%, Canada 8.4%(2017)","alumina, bauxite, chemicals, coffee, mineral fuels, waste and scrap metals, sugar, yams",$5.151 billion,"US 40.6%, Colombia 6.8%, Japan 5.8%, China 5.8%, Trinidad and Tobago 4.7%(2017)","food and other consumer goods, industrial supplies, fuel, parts and accessories of capital goods, machinery and transport equipment, construction materials",$3.781 billion,$14.94 billion,$15.03 billion,$604 million,0.82% of GDP,28,-,"22,121 km",-,41,4.007 billion kWh,2.847 billion kWh,0 kWh,0 kWh,1.078 million kW,83% of total installed capacity,0% of total installed capacity,3% of total installed capacity,15% of total installed capacity,0 bbl/day,0 bbl/day,"24,360 bbl/day",0 bbl,"24,250 bbl/day","55,000 bbl/day",823 bbl/day,"30,580 bbl/day",0 cu m,198.2 million cu m,0 cu m,198.2 million cu m,0 cu m,"297,027","3,091,222","1,336,653"
Jan Mayen,377 sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordan,"89,342 sq km","10,458,413",2.02%,"23.6 births/1,000 population","3.4 deaths/1,000 population","0 migrant(s)/1,000 population","58 deaths/100,000 live births","13.7 deaths/1,000 live births",75 years,3.14 children born/woman,7.5% of GDP,-,-,-,35.50%,3%,3.9% of GDP,29.30%,0.71,Jordanian dinars (JOD) per US dollar -,$89 billion,2%,"$9,200 ",9.1% of GDP,1.40%,2.295 million,18.30%,39.7,23.6% (of GDP),-5.1% (of GDP),95.9% of GDP,3.30%,3.75%,8.65%,$14.64 billion,$14.64 billion,$42.7 billion,$24.25 billion,-$4.257 billion,$7.511 billion,"US 24.9%, Saudi Arabia 12.8%, India 8.2%, Iraq 8.2%, Kuwait 5.4%, UAE 4.6%(2017)","textiles, fertilizers, potash, phosphates, vegetables, pharmaceuticals",$18.21 billion,"China 13.6%, Saudi Arabia 13.6%, US 9.9%, UAE 4.9%, Germany 4.4%(2017)","crude oil, refined petroleum products, machinery, transport equipment, iron, cereals",$15.56 billion,$29.34 billion,$33.83 billion,$646.5 million,4.8% of GDP,18,509 km,"7,203 km",-,31,18.6 billion kWh,16.82 billion kWh,50 million kWh,334 million kWh,4.764 million kW,87% of total installed capacity,0% of total installed capacity,0% of total installed capacity,12% of total installed capacity,22 bbl/day,0 bbl/day,"67,980 bbl/day",1 million bbl,"67,240 bbl/day","139,000 bbl/day",0 bbl/day,"68,460 bbl/day",121.8 million cu m,5.238 billion cu m,1.359 billion cu m,6.456 billion cu m,6.031 billion cu m,"404,112","9,818,446","5,099,674"
Johnston Atoll,2.63 sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenya,"580,367 sq km","48,397,527",1.57%,"22.6 births/1,000 population","6.7 deaths/1,000 population","-0.2 migrant(s)/1,000 population","510 deaths/100,000 live births","36.1 deaths/1,000 live births",64.6 years,2.81 children born/woman,5.7% of GDP,4.80%,1.5 million,"28,000",7.10%,11%,5.3% of GDP,-,102.1,Kenyan shillings (KES) per US dollar -,$163.7 billion,4.90%,"$3,500 ",10.4% of GDP,3.60%,19.6 million,40%,48.5,17.6% (of GDP),-6.7% (of GDP),54.2% of GDP,8%,10%,13.67%,$14.07 billion,$14.07 billion,$32 billion,$19.33 billion,-$5.021 billion,$5.792 billion,"Uganda 10.8%, Pakistan 10.6%, US 8.1%, Netherlands 7.3%, UK 6.4%, Tanzania 4.8%, UAE 4.4%(2017)","tea, horticultural products, coffee, petroleum products, fish, cement, apparel",$15.99 billion,"China 22.5%, India 9.9%, UAE 8.7%, Saudi Arabia 5.1%, Japan 4.5%(2017)","machinery and transportation equipment, oil, petroleum products, motor vehicles, iron and steel, resins and plastics",$7.354 billion,$27.59 billion,$8.738 billion,$1.545 billion,1.4% of GDP,197,"3,806 km","161,452 km",-,20,9.634 billion kWh,7.863 billion kWh,39.1 million kWh,184 million kWh,2.401 million kW,33% of total installed capacity,0% of total installed capacity,34% of total installed capacity,33% of total installed capacity,0 bbl/day,0 bbl/day,"12,550 bbl/day",0 bbl,"13,960 bbl/day","109,000 bbl/day",173 bbl/day,"90,620 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"69,861","42,815,109","12,165,597"
Kyrgyzstan,"199,951 sq km","5,849,296",1.02%,"21.6 births/1,000 population","6.4 deaths/1,000 population","-5.1 migrant(s)/1,000 population","76 deaths/100,000 live births","25 deaths/1,000 live births",71.2 years,2.59 children born/woman,6.5% of GDP,0.20%,"7,600",-,16.60%,2.80%,6% of GDP,15.50%,68.35,soms (KGS) per US dollar -,$23.15 billion,4.60%,"$3,700 ",27.3% of GDP,10.90%,2.841 million,7.10%,33.4,28.7% (of GDP),-3.2% (of GDP),56% of GDP,3.20%,5%,18.49%,$1.698 billion,$1.698 billion,$1.856 billion,$165 million,-$306 million,$1.84 billion,"Switzerland 59.1%, Uzbekistan 9.4%, Kazakhstan 5.1%, Russia 4.9%, UK 4%(2017)","gold, cotton, wool, garments, meat; mercury, uranium, electricity; machinery; shoes",$4.187 billion,"China 32.6%, Russia 24.8%, Kazakhstan 16.4%, Turkey 4.8%, US 4.2%(2017)","oil and gas, machinery and equipment, chemicals, foodstuffs",$2.177 billion,$8.164 billion,$6.003 billion,$709.3 million,3.15% of GDP,28,424 km,"34,000 km",600 km,-,13.04 billion kWh,10.52 billion kWh,184 million kWh,331 million kWh,4.046 million kW,24% of total installed capacity,0% of total installed capacity,76% of total installed capacity,0% of total installed capacity,"1,000 bbl/day",0 bbl/day,"4,480 bbl/day",40 million bbl,"6,996 bbl/day","37,000 bbl/day","2,290 bbl/day","34,280 bbl/day",28.32 million cu m,186.9 million cu m,0 cu m,169.9 million cu m,5.663 billion cu m,"362,288","7,369,927","1,976,006"
"Korea, North","120,538 sq km","25,381,085",0.52%,"14.6 births/1,000 population","9.3 deaths/1,000 population","0 migrant(s)/1,000 population","82 deaths/100,000 live births","21.4 deaths/1,000 live births",71 years,1.94 children born/woman,-,-,-,-,6.80%,15.20%,-,-,135,North Korean won (KPW) per US dollar (average market rate),$40 billion,-1.10%,"$1,700 ",-,1%,14 million,25.60%,-,11.4% (of GDP),-0.4% (of GDP),-,-,-,-,-,-,-,-,-,$45.82 billion,China 86.3%(2017),"minerals, metallurgical products, manufactures (including armaments), textiles, agricultural and fishery products",$43.75 billion,China 91.9%(2017),"petroleum, coking coal, machinery and equipment, textiles, grain",-,$5 billion,$1.878 billion,-,-,82,"7,435 km","25,554 km","2,250 km",248,16.57 billion kWh,13.89 billion kWh,0 kWh,0 kWh,10.01 million kW,45% of total installed capacity,0% of total installed capacity,55% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,"10,640 bbl/day",0 bbl,"11,270 bbl/day","18,000 bbl/day",0 bbl/day,"8,260 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,1.18 million,3.606 million,-
Kingman Reef,1 sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kiribati,811 sq km,"109,367",1.12%,"21 births/1,000 population","7 deaths/1,000 population","-2.9 migrant(s)/1,000 population","90 deaths/100,000 live births","31.1 deaths/1,000 live births",66.9 years,2.34 children born/woman,10.2% of GDP,-,-,-,46%,14.90%,-,54%,1.31,Australian dollars (AUD) per US dollar -,$227 million,3.10%,"$2,000 ",-,1.10%,"39,000",30.60%,-,76.8% (of GDP),-64.1% (of GDP),26.3% of GDP,0.40%,-,-,-,-,-,-,$18 million,$84.75 million,"Philippines 50.8%, Malaysia 17.2%, US 11.4%, Bangladesh 5.8%, Fiji 5.4%(2017)","fish, coconut products",$107.1 million,"Australia 29.3%, Fiji 17.3%, NZ 10.7%, China 5.8%, US 5.8%, Singapore 5.1%, Japan 4.6%, Thailand 4.1%(2017)","food, machinery and equipment, miscellaneous manufactured goods, fuel",$0 ,$40.9 million,-,-,-,19,-,670 km,5 km,133,29 million kWh,26.97 million kWh,0 kWh,0 kWh,"11,000 kW",73% of total installed capacity,0% of total installed capacity,0% of total installed capacity,27% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,400 bbl/day,0 bbl/day,420 bbl/day,0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,765,"46,123","14,649"
"Korea, South","99,720 sq km","51,418,097",0.44%,"8.3 births/1,000 population","6.3 deaths/1,000 population","2.5 migrant(s)/1,000 population","11 deaths/100,000 live births","3 deaths/1,000 live births",82.5 years,1.27 children born/woman,7.4% of GDP,-,-,-,4.70%,0.70%,5.1% of GDP,10.40%,"1,130.48",South Korean won (KRW) per US dollar -,$2.035 trillion,3.10%,"$39,500 ",36.6% of GDP,4.60%,27.75 million,3.70%,35.7,23.2% (of GDP),1.4% (of GDP),39.5% of GDP,1.90%,1.50%,3.48%,$793.9 billion,$793.9 billion,$2.986 trillion,$1.305 trillion,$78.46 billion,$577.4 billion,"China 25.1%, US 12.2%, Vietnam 8.2%, Hong Kong 6.9%, Japan 4.7%(2017)","semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat displays, steel, electronics, plastics, computers",$457.5 billion,"China 20.5%, Japan 11.5%, US 10.5%, Germany 4.2%, Saudi Arabia 4.1%(2017)","crude oil/petroleum products, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemicals, textiles",$389.2 billion,$384.6 billion,$230.6 billion,$344.7 billion,2.7% of GDP,111,"3,979 km","100,428 km","1,600 km","1,907",526 billion kWh,507.6 billion kWh,0 kWh,0 kWh,111.2 million kW,70% of total installed capacity,21% of total installed capacity,2% of total installed capacity,8% of total installed capacity,0 bbl/day,0 bbl/day,3.057 million bbl/day,-,3.302 million bbl/day,2.584 million bbl/day,1.396 million bbl/day,"908,800 bbl/day",339.8 million cu m,45.28 billion cu m,0 cu m,48.65 billion cu m,7.079 billion cu m,"26,842,952","63,658,688",44.153 million
Christmas Island,135 sq km,"2,205",1.11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.311,Australian dollars (AUD) per US dollar -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,phosphate,-,-,consumer goods,-,-,-,-,-,1,18 km,140 km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,790
Kuwait,"17,818 sq km","2,916,467",1.38%,"18.8 births/1,000 population","2.3 deaths/1,000 population","-2.4 migrant(s)/1,000 population","4 deaths/100,000 live births","6.8 deaths/1,000 live births",78.3 years,2.35 children born/woman,3% of GDP,-,-,-,37.90%,3%,-,14.60%,0.3041,Kuwaiti dinars (KD) per US dollar -,$289.7 billion,-3.30%,"$65,800 ",35.4% of GDP,2.80%,2.695 million,1.10%,-,41.8% (of GDP),-10% (of GDP),20.6% of GDP,1.50%,2.75%,4.68%,$33.68 billion,$33.68 billion,$111.2 billion,$81.78 billion,$7.127 billion,$55.17 billion,"South Korea 18.3%, China 17.4%, Japan 11.5%, India 11.2%, Singapore 6.3%, US 5.7%(2017)","oil and refined products, fertilizers",$29.53 billion,"China 13.5%, US 13.3%, UAE 9.5%, Saudi Arabia 5.8%, Germany 5.4%, Japan 5%, India 4.7%, Italy 4.5%(2017)","food, construction materials, vehicles and parts, clothing",$33.7 billion,$47.24 billion,$12.9 billion,$82.35 billion,4.83% of GDP,7,-,"6,608 km",-,161,65.95 billion kWh,57.78 billion kWh,0 kWh,0 kWh,18.89 million kW,100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,2.753 million bbl/day,"479,700 bbl/day",0 bbl/day,101.5 billion bbl,"915,800 bbl/day","446,000 bbl/day","705,500 bbl/day",0 bbl/day,17.1 billion cu m,21.72 billion cu m,0 cu m,5.125 billion cu m,1.784 trillion cu m,"542,082","5,136,384","2,219,972"
Kosovo,"10,887 sq km","1,907,592",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.40%,0.885,euros (EUR) per US dollar -,$19.6 billion,3.70%,"$10,900 ",17.3% of GDP,1.20%,"500,300",30.50%,23.2,29% (of GDP),-2.1% (of GDP),21.2% of GDP,1.50%,-,6.83%,-,$3.11 billion,$2.02 billion,-,-$467 million,$428 million,"Albania 16%, India 14%, Macedonia, The Former Yugo Rep of 12.1%, Serbia 10.6%, Switzerland 5.6%, Germany 5.4%(2017)","mining and processed metal products, scrap metals, leather products, machinery, appliances, prepared foodstuffs, beverages and tobacco, vegetable products, textiles and apparel",$3.223 billion,"Germany 12.4%, Serbia 12.3%, Turkey 9.6%, China 9.1%, Italy 6.4%, Macedonia, The Former Yugo Rep of 5.1%, Albania 5%, Greece 4.4%(2017)","foodstuffs, livestock, wood, petroleum, chemicals, machinery, minerals, textiles, stone, ceramic and glass products, electrical equipment",$683.9 million,$506 million,$3.59 billion,$275 million,0.79% of GDP,6,333 km,"2,012 km",-,-,5.638 billion kWh,3.957 billion kWh,885.7 million kWh,557 million kWh,1.573 million kW,97% of total installed capacity,0% of total installed capacity,3% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"14,000 bbl/day",192 bbl/day,"14,040 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"831,470","562,000",-
Kazakhstan,"2,724,900 sq km","18,744,548",0.98%,"17.5 births/1,000 population","8.2 deaths/1,000 population","0.4 migrant(s)/1,000 population","12 deaths/100,000 live births","19 deaths/1,000 live births",71.4 years,2.22 children born/woman,4.4% of GDP,0.20%,"27,000",-,21%,2%,3% of GDP,3.90%,326.3,tenge (KZT) per US dollar -,$478.6 billion,4%,"$26,300 ",23.7% of GDP,5.80%,8.97 million,5%,26.3,22.3% (of GDP),-1.8% (of GDP),20.8% of GDP,7.40%,11%,14.17%,$14.99 billion,$14.99 billion,$54.92 billion,$741.7 million,-$5.353 billion,$49.29 billion,"Italy 17.9%, China 11.9%, Netherlands 9.8%, Russia 9.3%, Switzerland 6.4%, France 5.9%(2017)","oil and oil products, natural gas, ferrous metals, chemicals, machinery, grain, wool, meat, coal",$31.85 billion,"Russia 38.9%, China 16.1%, Germany 5.1%, US 4.3%(2017)","machinery and equipment, metal products, foodstuffs",$30.75 billion,$167.5 billion,$161.6 billion,$35.04 billion,0.82% of GDP,96,"16,104 km","97,418 km","4,000 km",119,100.8 billion kWh,94.23 billion kWh,5.1 billion kWh,1.318 billion kWh,20.15 million kW,86% of total installed capacity,0% of total installed capacity,14% of total installed capacity,1% of total installed capacity,1.777 million bbl/day,1.409 million bbl/day,"1,480 bbl/day",30 billion bbl,"290,700 bbl/day","274,000 bbl/day","105,900 bbl/day","39,120 bbl/day",22.41 billion cu m,15.37 billion cu m,12.8 billion cu m,5.748 billion cu m,2.407 trillion cu m,"3,697,300",26.473 million,"14,100,751"
Laos,"236,800 sq km","7,234,171",1.48%,"23.2 births/1,000 population","7.3 deaths/1,000 population","-1.1 migrant(s)/1,000 population","197 deaths/100,000 live births","48.4 deaths/1,000 live births",65 years,2.65 children born/woman,1.9% of GDP,0.30%,"12,000",-,5.30%,26.50%,2.9% of GDP,1.80%,"8,231.10",kips (LAK) per US dollar -,$49.34 billion,6.90%,"$7,400 ",22.7% of GDP,8%,3.582 million,0.70%,36.7,18.3% (of GDP),-5.5% (of GDP),63.6% of GDP,0.80%,4.30%,18.50%,$1.131 billion,$1.131 billion,$9.3 billion,$1.012 billion,-$2.057 billion,$3.654 billion,"Thailand 42.6%, China 28.7%, Vietnam 10.4%, India 4.4%(2017)","wood products, coffee, electricity, tin, copper, gold, cassava",$4.976 billion,"Thailand 59.1%, China 21.5%, Vietnam 9.8%(2017)","machinery and equipment, vehicles, fuel, consumer goods",$1.27 billion,$14.9 billion,$15.14 billion,-,0.2% of GDP,41,-,"39,586 km","4,600 km",1,29.74 billion kWh,5.471 billion kWh,8.469 billion kWh,2.5 billion kWh,6.94 million kW,28% of total installed capacity,0% of total installed capacity,72% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"18,000 bbl/day",0 bbl/day,"17,460 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"1,125,469","3,711,813",1.258 million
